"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:07:22.4728989 AM","loader2.exe","2056","Process Start","","SUCCESS","Parent PID: 5144, Command line: ""C:\Users\test_user\Documents\loader2.exe"" , Current directory: C:\Users\test_user\Documents\, Environment: ;	=::=::\;	ALLUSERSPROFILE=C:\ProgramData;	APPDATA=C:\Users\test_user\AppData\Roaming;	CommonProgramFiles=C:\Program Files\Common Files;	CommonProgramFiles(x86)=C:\Program Files (x86)\Common Files;	CommonProgramW6432=C:\Program Files\Common Files;	COMPUTERNAME=DESKTOP-N46SBV9;	ComSpec=C:\Windows\system32\cmd.exe;	DriverData=C:\Windows\System32\Drivers\DriverData;	FPS_BROWSER_APP_PROFILE_STRING=Internet Explorer;	FPS_BROWSER_USER_PROFILE_STRING=Default;	HOMEDRIVE=C:;	HOMEPATH=\Users\test_user;	JAVA_HOME=C:\Java\jdk-21.0.2+13;	LOCALAPPDATA=C:\Users\test_user\AppData\Local;	LOGONSERVER=\\DESKTOP-N46SBV9;	NUMBER_OF_PROCESSORS=1;	OneDrive=C:\Users\test_user\OneDrive;	OS=Windows_NT;	Path=C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Sysinternals;C:\Java\jdk-21.0.2+13\bin;C:\NASM;C:\MinGW\mingw64\bin;C:\Program Files\Git\cmd;C:\Program Files\dotnet\;C:\Sysinternals;C:\Users\test_user\AppData\Local\Microsoft\WindowsApps;C:\Users\test_user\AppData\Local\Programs\Microsoft VS Code\bin;C:\Users\test_user\.dotnet\tools;C:\Users\test_user\Downloads\DefenderCheck\DefenderCheck\DefenderCheck\bin\Release\net8.0-windows;	PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;	PROCESSOR_ARCHITECTURE=AMD64;	PROCESSOR_IDENTIFIER=Intel64 Family 6 Model 197 Stepping 2, GenuineIntel;	PROCESSOR_LEVEL=6;	PROCESSOR_REVISION=c502;	ProgramData=C:\ProgramData;	ProgramFiles=C:\Program Files;	ProgramFiles(x86)=C:\Program Files (x86);	ProgramW6432=C:\Program Files;	PSModulePath=C:\Program Files\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules;	PUBLIC=C:\Users\Public;	SESSIONNAME=Console;	SystemDrive=C:;	SystemRoot=C:\Windows;	TEMP=C:\Users\TEST_U~1\AppData\Local\Temp;	TMP=C:\Users\TEST_U~1\AppData\Local\Temp;	USERDOMAIN=DESKTOP-N46SBV9;	USERDOMAIN_ROAMINGPROFILE=DESKTOP-N46SBV9;	USERNAME=test_user;	USERPROFILE=C:\Users\test_user;	windir=C:\Windows"
"10:07:22.4729038 AM","loader2.exe","2056","Thread Create","","SUCCESS","Thread ID: 4496"
"10:07:22.4922389 AM","loader2.exe","2056","Load Image","C:\Users\test_user\Documents\loader2.exe","SUCCESS","Image Base: 0x7ff708230000, Image Size: 0x8000"
"10:07:22.4922677 AM","loader2.exe","2056","Load Image","C:\Windows\System32\ntdll.dll","SUCCESS","Image Base: 0x7fff56210000, Image Size: 0x1f8000"
"10:07:22.4923808 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"10:07:22.4923915 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"10:07:22.4924015 AM","loader2.exe","2056","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock","NAME NOT FOUND","Length: 80"
"10:07:22.4924106 AM","loader2.exe","2056","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"10:07:22.4924199 AM","loader2.exe","2056","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap","REPARSE","Desired Access: Query Value"
"10:07:22.4924255 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value"
"10:07:22.4924487 AM","loader2.exe","2056","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"10:07:22.4924539 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"10:07:22.4924597 AM","loader2.exe","2056","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"10:07:22.4924657 AM","loader2.exe","2056","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"10:07:22.4926457 AM","loader2.exe","2056","CreateFile","C:\Users\test_user\Documents","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"10:07:22.4927132 AM","loader2.exe","2056","Load Image","C:\Windows\System32\kernel32.dll","SUCCESS","Image Base: 0x7fff554c0000, Image Size: 0xc2000"
"10:07:22.4928992 AM","loader2.exe","2056","Load Image","C:\Windows\System32\KernelBase.dll","SUCCESS","Image Base: 0x7fff53d00000, Image Size: 0x2f6000"
"10:07:22.4934281 AM","loader2.exe","2056","CreateFile","C:\Windows\System32\conhost.exe","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:07:22.4934652 AM","loader2.exe","2056","CreateFileMapping","C:\Windows\System32\conhost.exe","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"10:07:22.4934793 AM","loader2.exe","2056","CreateFileMapping","C:\Windows\System32\conhost.exe","SUCCESS","SyncType: SyncTypeOther"
"10:07:22.4934980 AM","loader2.exe","2056","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\Conhost.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"10:07:22.4935234 AM","loader2.exe","2056","QuerySecurityFile","C:\Windows\System32\conhost.exe","SUCCESS","Information: Label"
"10:07:22.4935463 AM","loader2.exe","2056","QueryNameInformationFile","C:\Windows\System32\conhost.exe","SUCCESS","Name: \Windows\System32\conhost.exe"
"10:07:22.4952393 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-307119187-292841094-1427567385-1000","SUCCESS","Desired Access: All Access"
"10:07:22.4952507 AM","loader2.exe","2056","RegQueryValue","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-307119187-292841094-1427567385-1000\\Device\HarddiskVolume3\Windows\System32\conhost.exe","SUCCESS","Type: REG_BINARY, Length: 24, Data: 12 2E 79 16 3C F4 DC 01 00 00 00 00 00 00 00 00"
"10:07:22.4952656 AM","loader2.exe","2056","RegSetValue","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-307119187-292841094-1427567385-1000\\Device\HarddiskVolume3\Windows\System32\conhost.exe","SUCCESS","Type: REG_BINARY, Length: 24, Data: ED 99 24 3A 3C F4 DC 01 00 00 00 00 00 00 00 00"
"10:07:22.4953442 AM","loader2.exe","2056","RegCloseKey","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-307119187-292841094-1427567385-1000","SUCCESS",""
"10:07:22.4953528 AM","loader2.exe","2056","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\BAM","REPARSE","Desired Access: Query Value"
"10:07:22.4953613 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\BAM","NAME NOT FOUND","Desired Access: Query Value"
"10:07:22.4954283 AM","loader2.exe","2056","CreateFile","C:\Windows\System32\conhost.exe","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Non-Directory File, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"10:07:22.4954445 AM","loader2.exe","2056","CloseFile","C:\Windows\System32\conhost.exe","SUCCESS",""
"10:07:22.4954883 AM","loader2.exe","2056","QueryNameInformationFile","C:\Windows\System32\conhost.exe","SUCCESS","Name: \Windows\System32\conhost.exe"
"10:07:22.4955351 AM","loader2.exe","2056","CreateFile","C:\Windows\System32\conhost.exe","SUCCESS","Desired Access: Read Data/List Directory, Read Attributes, Synchronize, Disposition: Open, Options: Sequential Access, Synchronous IO Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:07:22.4955572 AM","loader2.exe","2056","QueryAllInformationFile","C:\Windows\System32\conhost.exe","SUCCESS","CreationTime: 4/1/2026 3:53:53 PM, LastAccessTime: 6/4/2026 10:07:11 AM, LastWriteTime: 4/1/2026 3:53:53 PM, ChangeTime: 4/16/2026 2:27:07 PM, FileAttributes: A, AllocationSize: 868,352, EndOfFile: 867,840"
"10:07:22.4955807 AM","loader2.exe","2056","CloseFile","C:\Windows\System32\conhost.exe","SUCCESS",""
"10:07:22.4956049 AM","loader2.exe","2056","Process Create","C:\Windows\System32\Conhost.exe","SUCCESS","PID: 2668, Command line: \??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1"
"10:07:22.4956183 AM","loader2.exe","2056","CloseFile","C:\Windows\System32\conhost.exe","SUCCESS",""
"10:07:22.8397561 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys","REPARSE","Desired Access: Read"
"10:07:22.8397735 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys","NAME NOT FOUND","Desired Access: Read"
"10:07:22.8398402 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\Terminal Server","REPARSE","Desired Access: Read"
"10:07:22.8398472 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\Terminal Server","SUCCESS","Desired Access: Read"
"10:07:22.8398594 AM","loader2.exe","2056","RegQueryValue","HKLM\System\CurrentControlSet\Control\Terminal Server\TSAppCompat","NAME NOT FOUND","Length: 548"
"10:07:22.8398668 AM","loader2.exe","2056","RegQueryValue","HKLM\System\CurrentControlSet\Control\Terminal Server\TSUserEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"10:07:22.8398758 AM","loader2.exe","2056","RegCloseKey","HKLM\System\CurrentControlSet\Control\Terminal Server","SUCCESS",""
"10:07:22.8400011 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","REPARSE","Desired Access: Query Value, Set Value"
"10:07:22.8400073 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value"
"10:07:22.8400165 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","REPARSE","Desired Access: Read"
"10:07:22.8400217 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","NAME NOT FOUND","Desired Access: Read"
"10:07:22.8400306 AM","loader2.exe","2056","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value"
"10:07:22.8400433 AM","loader2.exe","2056","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80"
"10:07:22.8400521 AM","loader2.exe","2056","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS",""
"10:07:22.8400607 AM","loader2.exe","2056","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value"
"10:07:22.8400787 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem\","REPARSE","Desired Access: Read"
"10:07:22.8400839 AM","loader2.exe","2056","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","Desired Access: Read"
"10:07:22.8400907 AM","loader2.exe","2056","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LongPathsEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"10:07:22.8400972 AM","loader2.exe","2056","RegCloseKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS",""
